127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/keymap/sublime.js, HTTP/1.1, 200, 0.015001
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.005998
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.005998
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.006999
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.007999
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.032999
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.013002
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.013002
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.014002
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.018001
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.014997
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.012999
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.016001
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.011999
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.014998
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.011998
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.014000
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.011001
127.0.0.1, 2024-06-03 08:14:35, GET, /admin/static/_2.27.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.011002
